Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
-0.7510139293682924,0.016047301,1.752511179922581,3735.138,-0.13968067562544334,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-1.4776531157501,0.019278216,-1.4936964975622655,443.4228,-1.3342284007044944,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.011838534634909,0.016760075,0.009873966087617527,2097.27,-0.13968067562544334,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.3773079479038652,0.017834337888888892,0.6618375870142531,732.38,-0.020225903117538233,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.8305572722562419,0.009779828555555557,-1.4036228517647524,994.7052,1.293776594469418,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
-0.5156086308215236,0.057058688875,-1.4432557713401182,556.6088,-1.3342284007044944,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0.18415780458462547,0.012741089,-1.3424580753705828,343.5528,1.293776594469418,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1.3343115463428117,0.127469857,-0.5354418912478565,4022.7636,1.5326861394852282,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0.7323619244880599,0.016687114,-0.709230133566952,1076.5986,-0.4980449931491587,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1.3773079479038652,0.09444959,0.7540727941411225,4710.535,-1.0953188556886841,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
-0.21355890985512116,0.040626524444444444,-1.5376525397963436,1516.0266,-0.13968067562544334,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.2268205424401775,0.045463773,0.05001586731728769,2187.153,0.09922886939036688,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.4958817159022646,0.1000135,0.0720567057903962,1589.2646,-0.13968067562544334,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0333367354154361,0.047257328,-0.3435107079348197,2145.2076,0.09922886939036688,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.7646092256588506,0.0680243,0.8929345864857307,1977.426,1.293776594469418,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
-0.815508531709873,0.069088961,-1.3633553158229437,1547.3192,0.09922886939036688,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
-0.21355890985512116,0.008596051,-0.41323797317165567,1621.8888,-1.3342284007044944,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
-0.815508531709873,0.069196376,-1.3955693445763906,718.3982,-0.13968067562544334,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.9745952174857718,0.034237682,-0.44651184347109096,2303.668,1.5326861394852282,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.11966320224304478,0.10249212,1.442064584825613,2748.4224,-0.7369545381649689,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1.302064245172022,0.138190277,1.7696361576079132,3775.086,1.293776594469418,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
